18:08:41: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 51] Logger initialized
18:08:41: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 0.000 m/s, z: 4.000 m/s
18:08:41: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 0.000 m/s, z: 1.000 m/s
18:08:42: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 0.000 m/s, z: 0.667 m/s
18:08:42: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 0.000 m/s, z: 0.500 m/s
18:08:43: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 0.000 m/s, z: 0.400 m/s
18:08:43: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 0.000 m/s, z: 0.333 m/s
18:08:44: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 0.000 m/s, z: 0.286 m/s
18:08:44: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 2.500 m/s, z: 0.250 m/s
18:08:45: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 4.444 m/s, z: 0.222 m/s
18:08:45: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 6.000 m/s, z: 0.200 m/s
18:08:46: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 1.818 m/s, y: 5.455 m/s, z: 0.182 m/s
