18:08:40: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
18:08:40: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 137] Connected!
18:08:41: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE ALTITUDE: 1.000
18:08:41: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE ALTITUDE: -1.000
18:08:44: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 63.435
18:08:45: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 90.000
18:08:45: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 116.565
18:08:46: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 45.000
18:08:46: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 63.435
18:08:47: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 90.000
18:08:47: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 26.565
18:08:48: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 45.000
18:08:48: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 90.000
18:08:49: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 45.000
18:08:49: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 90.000
18:08:50: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: 135.000
18:08:50: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -26.565
18:08:51: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -45.000
18:08:51: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -90.000
18:08:52: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -45.000
18:08:52: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -90.000
18:08:53: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -135.000
18:08:53: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -63.435
18:08:54: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -90.000
18:08:54: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -116.565
18:08:55: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -45.000
18:08:55: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -63.435
18:08:56: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 79] Command output: CHANGE YAW: -90.000
