15:55:39: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 46] Logger initialized
15:55:41: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1 (out of a max of 5)
15:55:42: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1 (out of a max of 5)
15:55:43: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1 (out of a max of 5)
15:55:44: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1 (out of a max of 5)
15:55:45: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 2 (out of a max of 5)
15:55:46: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 3 (out of a max of 5)
15:55:47: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 4 (out of a max of 5)
15:55:48: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 5 (out of a max of 5)
15:55:49: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 6 (out of a max of 5)
15:55:50: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 7 (out of a max of 5)
15:55:51: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 8 (out of a max of 5)
15:55:53: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1 (out of a max of 5)
15:55:54: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1 (out of a max of 5)
15:55:55: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1 (out of a max of 5)
15:55:56: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1 (out of a max of 5)
15:55:57: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1 (out of a max of 5)
15:55:59: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1 (out of a max of 5)
15:56:00: [WARNING] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 2 (out of a max of 5)
