15:55:39: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
15:55:39: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | main | 116] Connected!
15:55:39: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:40: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:41: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:41: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:42: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:42: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:43: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:43: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:44: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:45: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:46: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:47: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:48: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Disconnected
15:55:49: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Disconnected
15:55:50: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Disconnected
15:55:51: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Disconnected
15:55:52: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:53: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:53: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:54: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:54: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:55: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:55: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:56: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:56: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:57: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:58: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:55:59: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
15:56:00: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Receiver status: Connected
